frame,spritename,x,y,w,h,confidence
416,smallHillS.png,26,265,78,30,0.974597
416,smallHillS.png,23,269,78,30,0.795672
416,smallHillS.png,30,263,78,30,0.753369
416,smallHillS.png,29,269,78,30,0.772829
417,bush2S.png,322,295,78,26,0.773027
417,bush3S.png,296,295,104,26,0.944191
417,cloud1S.png,219,64,52,39,0.95595
417,ground.png,129,322,26,38,0.947971
417,ground.png,206,322,26,38,0.871086
417,ground.png,104,322,26,38,0.873932
417,ground.png,361,322,26,38,0.976491
417,ground.png,52,322,26,38,0.999854
417,ground.png,181,322,26,38,0.94504
417,ground.png,26,322,26,38,0.970057
417,ground.png,284,322,26,38,0.966091
417,ground.png,335,322,26,38,0.949352
417,ground.png,310,322,26,38,0.87868
417,ground.png,258,322,26,38,0.997273
417,ground.png,155,322,26,38,0.97636
417,ground.png,78,322,26,38,0.965426
417,ground.png,0,322,26,38,0.875674
417,ground.png,232,322,26,38,0.968942
417,largeHillS.png,0,265,130,56,0.940282
417,largeHillS.png,0,261,130,56,0.810492
417,smallHillS.png,26,265,78,30,0.974583
417,smallHillS.png,23,269,78,30,0.79878
417,smallHillS.png,30,263,78,30,0.753441
417,smallHillS.png,29,269,78,30,0.776976
418,bush2S.png,322,295,78,26,0.773027
418,bush3S.png,296,295,104,26,0.944192
418,cloud1S.png,219,64,52,39,0.95595
418,ground.png,129,322,26,38,0.947971
418,ground.png,206,322,26,38,0.871086
418,ground.png,104,322,26,38,0.866728
418,ground.png,361,322,26,38,0.976491
418,ground.png,52,322,26,38,0.999855
418,ground.png,181,322,26,38,0.94504
418,ground.png,26,322,26,38,0.970057
418,ground.png,284,322,26,38,0.966091
418,ground.png,335,322,26,38,0.949352
418,ground.png,310,322,26,38,0.87868
418,ground.png,258,322,26,38,0.997273
418,ground.png,155,322,26,38,0.976359
418,ground.png,78,322,26,38,0.965366
418,ground.png,0,322,26,38,0.875674
418,ground.png,232,322,26,38,0.968942
418,largeHillS.png,0,265,130,56,0.937063
418,largeHillS.png,0,261,130,56,0.81408
418,smallHillS.png,26,265,78,30,0.9746
418,smallHillS.png,23,269,78,30,0.798754
418,smallHillS.png,30,263,78,30,0.753427
418,smallHillS.png,29,269,78,30,0.782057
419,bush2S.png,322,295,78,26,0.773027
419,bush3S.png,296,295,104,26,0.944192
419,cloud1S.png,219,64,52,39,0.95595
419,ground.png,129,322,26,38,0.947971
419,ground.png,206,322,26,38,0.871086
419,ground.png,104,322,26,38,0.869927
419,ground.png,361,322,26,38,0.976491
419,ground.png,52,322,26,38,0.999855
419,ground.png,181,322,26,38,0.94504
419,ground.png,26,322,26,38,0.970057
419,ground.png,284,322,26,38,0.966091
419,ground.png,335,322,26,38,0.949352
419,ground.png,310,322,26,38,0.87868
419,ground.png,258,322,26,38,0.997273
419,ground.png,155,322,26,38,0.97636
419,ground.png,78,322,26,38,0.965347
419,ground.png,0,322,26,38,0.875673
419,ground.png,232,322,26,38,0.968942
419,largeHillS.png,0,265,130,56,0.936759
419,largeHillS.png,0,261,130,56,0.81472
419,smallHillS.png,26,265,78,30,0.974587
419,smallHillS.png,23,269,78,30,0.79875
419,smallHillS.png,30,263,78,30,0.753478
419,smallHillS.png,29,269,78,30,0.78238
420,bush2S.png,322,295,78,26,0.773027
420,bush3S.png,296,295,104,26,0.944191
420,cloud1S.png,219,64,52,39,0.95595
420,ground.png,129,322,26,38,0.947954
420,ground.png,206,322,26,38,0.871086
420,ground.png,104,322,26,38,0.870274
420,ground.png,361,322,26,38,0.976491
420,ground.png,52,322,26,38,0.999855
420,ground.png,181,322,26,38,0.94504
420,ground.png,26,322,26,38,0.970057
420,ground.png,284,322,26,38,0.966091
420,ground.png,335,322,26,38,0.949352
420,ground.png,310,322,26,38,0.87868
420,ground.png,258,322,26,38,0.997273
420,ground.png,155,322,26,38,0.97636
420,ground.png,78,322,26,38,0.965343
420,ground.png,0,322,26,38,0.875674
420,ground.png,232,322,26,38,0.968942
420,largeHillS.png,0,265,130,56,0.919454
420,largeHillS.png,0,261,130,56,0.800061
420,smallHillS.png,26,265,78,30,0.974586
420,smallHillS.png,23,269,78,30,0.798751
420,smallHillS.png,30,263,78,30,0.753496
420,smallHillS.png,29,269,78,30,0.782325
421,bush2S.png,322,295,78,26,0.773027
421,bush3S.png,296,295,104,26,0.944192
421,cloud1S.png,219,64,52,39,0.95595
421,ground.png,129,322,26,38,0.947697
421,ground.png,206,322,26,38,0.871087
421,ground.png,104,322,26,38,0.874809
421,ground.png,361,322,26,38,0.976491
421,ground.png,52,322,26,38,0.999855
421,ground.png,181,322,26,38,0.945041
421,ground.png,26,322,26,38,0.970058
421,ground.png,284,322,26,38,0.966091
421,ground.png,335,322,26,38,0.949352
421,ground.png,310,322,26,38,0.87868
421,ground.png,258,322,26,38,0.997273
421,ground.png,155,322,26,38,0.97636
